ID,住所コード,市区町村名,大字名,字丁目名,街区,地番_戸番,建物名,階数,建物分類,総部屋数,目標物数,個人の家屋数,事業所数,空き部屋数,その他数,目標物比率,個人の家屋比率,事業所比率,空き部屋比率,その他比率,面積,延床面積,目標物総面積,目標物平均面積,個人の家屋総面積,個人の家屋平均面積,空き部屋総面積,空き部屋平均面積,事業所総面積,事業所平均面積,その他総面積,その他平均面積,飲食件数,物販_食品_件数,物販_衣料_件数,物販_日用雑貨_件数,サービス_レンタル_件数,サービス_冠婚葬祭_件数,サービス_生活関連_件数,サービス_自動車_件数,サービス_その他_件数,量販店件数,金融_保険件数,不動産件数,インフラ件数,専門職件数,スポーツ施設件数,娯楽件数,ホテル_旅館件数,医療_福祉件数,公共件数,教育件数,宅配_引越_郵便件数,運輸件数,建設_設備件数,自動車関連件数,協同組合件数,宗教関連件数,一般業件数,経度,緯度,部屋数推定フラグ,地域冷暖房フラグ,地域冷暖房計画区域,is_target,building_usage,building_usage_detailed,by_google_map,floor_area,building_usage_detailed_sim,CL
3178,13102,中央区,新川,１丁目,3,7,ストークマンション新川,11,1002,69,0,0,3,65,1,0,0,4.35,94.2,1.45,255.89,3070.68,0,0,0,0,2819.05,43.37,200.45,66.82,51.18,51.18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,139.7820444,35.6784778,0,,,FALSE,,,FALSE,251.63,,
3179,13102,中央区,新川,１丁目,3,8,坪井ビル,4,3003,4,0,2,2,0,0,0,50,50,0,0,157.67,630.68,0,0,473.01,236.51,0,0,157.67,78.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7818706,35.6784164,0,,,TRUE,01_Office,Office,FALSE,157.67,Office,CL1
3180,13102,中央区,新川,１丁目,3,2,新東京ビル,6,3003,12,0,0,5,6,1,0,0,41.67,50,8.33,74.54,447.24,0,0,0,0,149.08,24.85,223.62,44.72,74.54,74.54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7817481,35.6788269,0,,,TRUE,01_Office,Office,FALSE,298.16,Office,CL2
3181,13102,中央区,新川,１丁目,3,2,ギンザヤビル,3,3003,5,0,0,4,1,0,0,0,80,20,0,120.14,360.42,0,0,0,0,40.05,40.05,320.37,80.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7815669,35.6787728,0,,,TRUE,01_Office,Office,FALSE,320.37,Office,CL2
3182,13102,中央区,新川,１丁目,3,2,大田ビル,4,3004,5,0,0,4,0,1,0,0,80,0,20,139.59,558.36,0,0,0,0,0,0,418.77,104.69,139.59,139.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7814981,35.678715,0,,,TRUE,01_Office,Office,FALSE,558.36,Office,CL3
3183,13102,中央区,新川,１丁目,3,1,,0,1001,1,0,1,0,0,0,0,100,0,0,0,27.81,55.62,0,0,55.62,55.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7817094,35.6789194,1,,,FALSE,,,FALSE,55.62,,
3184,13102,中央区,新川,１丁目,3,2,ＮＡＸビル,9,3003,12,0,0,11,1,0,0,0,91.67,8.33,0,138.97,1250.73,0,0,0,0,138.97,138.97,1111.76,101.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.78164,35.6788092,0,,,TRUE,01_Office,Office,FALSE,1111.76,Office,CL4
3185,13102,中央区,新川,１丁目,4,9,トーソー（株）,8,3002,3,0,0,3,0,0,0,0,100,0,0,196.03,1568.24,0,0,0,0,0,0,1568.24,522.75,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,139.7807456,35.6776506,0,,,TRUE,04_Retail,SpecialityShop_or_HousingClothingSuper,FALSE,1568.24,HousingClothingSuper,
3186,13102,中央区,新川,１丁目,4,1,住友不動産六甲ビル,10,3003,35,0,1,18,12,4,0,2.86,51.43,34.29,11.43,1408.15,14081.5,0,0,201.16,201.16,2615.14,217.93,9622.36,534.58,1642.84,410.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7812256,35.6780344,0,,,TRUE,01_Office,Office,FALSE,11265.2,Office,CL7
3187,13102,中央区,新川,１丁目,4,8,フォーラム島田２,8,3003,11,0,2,8,0,1,0,18.18,72.73,0,9.09,130.14,1041.12,0,0,86.76,43.38,0,0,824.22,103.03,130.14,130.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7809069,35.6777686,0,,,TRUE,01_Office,Office,FALSE,954.36,Office,CL3
3188,13102,中央区,新川,１丁目,4,11,高野ビル,7,3003,21,0,7,14,0,0,0,33.33,66.67,0,0,85.96,601.72,0,0,198.19,28.31,0,0,403.53,28.82,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,139.7805744,35.6775189,0,,,TRUE,01_Office,Office,FALSE,403.53,Office,CL2
